Route ID,Origin,Destination,Segments,Airlines,Departure Time,Arrival Time,Total Duration,Price,Number of Stops
Route-21,JFK,HEL,JFK → YUL → FRA → HEL,AC → AC → AC,2025-07-01T09:00:00,2025-07-02T12:50:00,PT20H50M,617.33,2
Route-22,JFK,HEL,JFK → YYZ → FRA → HEL,AC → AC → AC,2025-07-01T15:55:00,2025-07-02T16:50:00,PT17H55M,623.09,2
Route-23,JFK,HEL,JFK → YYZ → FRA → HEL,AC → AC → AC,2025-07-01T10:30:00,2025-07-02T12:50:00,PT19H20M,623.09,2
Route-24,JFK,HEL,JFK → YYZ → FRA → HEL,AC → AC → AC,2025-07-01T10:30:00,2025-07-02T12:50:00,PT19H20M,623.09,2
Route-25,JFK,HEL,JFK → MAN → HEL,EI → AY,2025-07-01T19:00:00,2025-07-02T14:45:00,PT12H45M,625.83,1
Route-26,JFK,HEL,JFK → CDG → HEL,AF → AF,2025-07-01T21:30:00,2025-07-02T16:40:00,PT12H10M,628.82,1
Route-27,JFK,HEL,JFK → CDG → HEL,AF → AF,2025-07-01T01:00:00,2025-07-01T23:20:00,PT15H20M,628.82,1
Route-28,JFK,HEL,JFK → CDG → HEL,AF → AF,2025-07-01T23:30:00,2025-07-02T23:20:00,PT16H50M,628.82,1
Route-29,JFK,HEL,JFK → FRA → HEL,LH → LH,2025-07-01T18:00:00,2025-07-02T12:50:00,PT11H50M,633.89,1
Route-30,JFK,HEL,JFK → FRA → HEL,LH → LH,2025-07-01T21:50:00,2025-07-02T16:50:00,PT12H,633.89,1
Route-31,JFK,HEL,JFK → FRA → HEL,LH → LH,2025-07-01T15:45:00,2025-07-02T12:50:00,PT14H5M,633.89,1
Route-32,JFK,HEL,JFK → FRA → HEL,LH → LH,2025-07-01T18:00:00,2025-07-02T16:50:00,PT15H50M,633.89,1
Route-33,JFK,HEL,JFK → FRA → HEL,LH → LH,2025-07-01T21:50:00,2025-07-03T00:25:00,PT19H35M,633.89,1
Route-34,JFK,HEL,JFK → LHR → HEL,AY → AY,2025-07-01T19:30:00,2025-07-02T14:20:00,PT11H50M,634.46,1
Route-35,JFK,HEL,JFK → LHR → HEL,AY → AY,2025-07-01T19:30:00,2025-07-02T15:15:00,PT12H45M,634.46,1
Route-36,JFK,HEL,JFK → LHR → HEL,AY → AY,2025-07-01T20:05:00,2025-07-02T15:15:00,PT12H10M,634.46,1
Route-37,JFK,HEL,JFK → BCN → HEL,IB → IB,2025-07-01T23:25:00,2025-07-03T15:10:00,PT32H45M,642.53,1
Route-38,JFK,HEL,JFK → HEL,6X,2025-07-01T17:40:00,2025-07-02T08:50:00,PT8H10M,682.84,0
Route-39,JFK,HEL,JFK → LHR → HEL,6X → 6X,2025-07-01T05:00:00,2025-07-01T19:30:00,PT7H30M,699.93,1
Route-40,JFK,HEL,JFK → LHR → HEL,6X → 6X,2025-07-01T05:00:00,2025-07-01T21:05:00,PT9H5M,699.93,1
