Price,Airline,Departure Date,Departure Time
747.83,UA,2025-07-04,2025-07-04T13:15:00
747.83,UA,2025-07-03,2025-07-03T15:45:00
747.83,UA,2025-07-04,2025-07-04T09:25:00
747.83,UA,2025-07-03,2025-07-03T15:45:00
747.83,UA,2025-07-04,2025-07-04T13:15:00
747.83,UA,2025-07-03,2025-07-03T21:50:00
747.83,UA,2025-07-04,2025-07-04T21:15:00
753.57,AC,2025-07-03,2025-07-03T15:55:00
753.57,AC,2025-07-03,2025-07-03T21:10:00
753.57,AC,2025-07-04,2025-07-04T13:15:00
753.57,AC,2025-07-03,2025-07-03T10:30:00
753.57,AC,2025-07-03,2025-07-03T16:30:00
753.57,AC,2025-07-04,2025-07-04T09:25:00
760.88,LH,2025-07-03,2025-07-03T17:30:00
760.88,LH,2025-07-04,2025-07-04T15:25:00
764.27,LH,2025-07-03,2025-07-03T18:00:00
764.27,LH,2025-07-04,2025-07-04T09:25:00
764.27,LH,2025-07-03,2025-07-03T21:50:00
764.27,LH,2025-07-04,2025-07-04T13:15:00
764.27,LH,2025-07-03,2025-07-03T21:50:00
764.27,LH,2025-07-04,2025-07-04T14:30:00
764.27,LH,2025-07-03,2025-07-03T15:45:00
764.27,LH,2025-07-04,2025-07-04T09:25:00
764.27,LH,2025-07-03,2025-07-03T18:00:00
764.27,LH,2025-07-04,2025-07-04T13:15:00
774.36,TK,2025-07-03,2025-07-03T12:50:00
774.36,TK,2025-07-04,2025-07-04T08:00:00
774.36,TK,2025-07-03,2025-07-03T06:45:00
774.36,TK,2025-07-04,2025-07-04T08:00:00
776.41,LH,2025-07-03,2025-07-03T17:30:00
776.41,LH,2025-07-04,2025-07-04T20:20:00
805.22,AF,2025-07-03,2025-07-03T21:30:00
805.22,AF,2025-07-04,2025-07-04T12:40:00
805.22,AF,2025-07-03,2025-07-03T01:00:00
805.22,AF,2025-07-03,2025-07-03T19:20:00
805.22,AF,2025-07-03,2025-07-03T23:30:00
805.22,AF,2025-07-04,2025-07-04T19:20:00
824.49,IB,2025-07-03,2025-07-03T22:55:00
827.48,KL,2025-07-03,2025-07-03T18:20:00
827.48,KL,2025-07-04,2025-07-04T09:45:00
827.48,KL,2025-07-03,2025-07-03T17:30:00
827.48,KL,2025-07-04,2025-07-04T09:45:00
827.48,KL,2025-07-03,2025-07-03T21:10:00
827.48,KL,2025-07-04,2025-07-04T14:20:00
827.48,KL,2025-07-03,2025-07-03T19:20:00
827.48,KL,2025-07-04,2025-07-04T14:20:00
827.48,KL,2025-07-03,2025-07-03T00:50:00
827.48,KL,2025-07-03,2025-07-03T21:00:00
827.48,KL,2025-07-03,2025-07-03T21:10:00
827.48,KL,2025-07-04,2025-07-04T21:00:00
827.48,AF,2025-07-03,2025-07-03T21:10:00
827.48,AF,2025-07-04,2025-07-04T21:00:00
828.80,AY,2025-07-03,2025-07-03T22:55:00
895.47,AY,2025-07-03,2025-07-03T16:45:00
895.47,AY,2025-07-04,2025-07-04T10:15:00
913.08,IB,2025-07-03,2025-07-03T19:10:00
913.08,AY,2025-07-04,2025-07-04T11:05:00
917.61,IB,2025-07-03,2025-07-03T17:10:00
917.61,IB,2025-07-04,2025-07-04T10:05:00
924.09,IB,2025-07-03,2025-07-03T23:25:00
924.09,IB,2025-07-05,2025-07-05T10:05:00
954.84,6X,2025-07-03,2025-07-03T15:00:00
954.84,6X,2025-07-04,2025-07-04T02:20:00
954.84,6X,2025-07-03,2025-07-03T20:00:00
954.84,6X,2025-07-04,2025-07-04T10:00:00
989.36,TK,2025-07-03,2025-07-03T19:50:00
989.36,TK,2025-07-04,2025-07-04T15:00:00
989.36,TK,2025-07-03,2025-07-03T12:50:00
989.36,TK,2025-07-04,2025-07-04T15:00:00
2766.19,IB,2025-07-03,2025-07-03T19:05:00
2766.19,IB,2025-07-04,2025-07-04T10:15:00
2795.19,IB,2025-07-03,2025-07-03T16:45:00
2795.19,IB,2025-07-04,2025-07-04T10:15:00
3593.27,AY,2025-07-03,2025-07-03T23:10:00
3593.27,AY,2025-07-04,2025-07-04T13:00:00
3593.27,AY,2025-07-03,2025-07-03T19:30:00
3593.27,AY,2025-07-04,2025-07-04T09:30:00
3593.27,AY,2025-07-03,2025-07-03T20:05:00
3593.27,AY,2025-07-04,2025-07-04T10:20:00
3593.27,AY,2025-07-03,2025-07-03T19:30:00
3593.27,AY,2025-07-04,2025-07-04T10:20:00
3593.27,AY,2025-07-03,2025-07-03T23:10:00
3593.27,AY,2025-07-04,2025-07-04T18:10:00
3603.52,AY,2025-07-03,2025-07-03T20:05:00
3603.52,AY,2025-07-04,2025-07-04T13:00:00
3603.52,AY,2025-07-03,2025-07-03T20:05:00
3603.52,AY,2025-07-04,2025-07-04T18:10:00
524.44,UA,2025-07-04,2025-07-04T17:30:00
524.44,UA,2025-07-05,2025-07-05T15:25:00
545.35,FI,2025-07-04,2025-07-04T20:25:00
545.35,FI,2025-07-05,2025-07-05T07:30:00
588.39,TP,2025-07-04,2025-07-04T22:05:00
588.39,TP,2025-07-05,2025-07-05T16:30:00
588.44,AC,2025-07-04,2025-07-04T09:00:00
588.44,AC,2025-07-04,2025-07-04T22:50:00
588.44,AC,2025-07-05,2025-07-05T15:25:00
591.83,AC,2025-07-04,2025-07-04T09:00:00
591.83,AC,2025-07-04,2025-07-04T18:55:00
591.83,AC,2025-07-05,2025-07-05T09:25:00
591.83,AC,2025-07-04,2025-07-04T09:00:00
591.83,AC,2025-07-04,2025-07-04T18:05:00
591.83,AC,2025-07-05,2025-07-05T09:25:00
594.18,AC,2025-07-04,2025-07-04T15:55:00
594.18,AC,2025-07-04,2025-07-04T20:20:00
594.18,AC,2025-07-05,2025-07-05T15:25:00
594.18,AC,2025-07-04,2025-07-04T10:30:00
594.18,AC,2025-07-04,2025-07-04T20:20:00
594.18,AC,2025-07-05,2025-07-05T15:25:00
594.18,AC,2025-07-04,2025-07-04T10:30:00
594.18,AC,2025-07-04,2025-07-04T17:30:00
594.18,AC,2025-07-05,2025-07-05T15:25:00
597.57,AC,2025-07-04,2025-07-04T15:55:00
597.57,AC,2025-07-04,2025-07-04T21:10:00
597.57,AC,2025-07-05,2025-07-05T13:40:00
597.57,AC,2025-07-04,2025-07-04T10:30:00
597.57,AC,2025-07-04,2025-07-04T16:30:00
597.57,AC,2025-07-05,2025-07-05T09:25:00
597.57,AC,2025-07-04,2025-07-04T10:30:00
597.57,AC,2025-07-04,2025-07-04T18:20:00
597.57,AC,2025-07-05,2025-07-05T09:25:00
604.88,LH,2025-07-04,2025-07-04T17:30:00
604.88,LH,2025-07-05,2025-07-05T15:25:00
608.27,LH,2025-07-04,2025-07-04T18:00:00
608.27,LH,2025-07-05,2025-07-05T09:25:00
608.27,LH,2025-07-04,2025-07-04T15:45:00
608.27,LH,2025-07-05,2025-07-05T09:25:00
608.27,LH,2025-07-04,2025-07-04T18:00:00
608.27,LH,2025-07-05,2025-07-05T14:30:00
608.27,LH,2025-07-04,2025-07-04T15:45:00
608.27,LH,2025-07-05,2025-07-05T14:30:00
608.27,SN,2025-07-04,2025-07-04T15:45:00
608.27,SN,2025-07-05,2025-07-05T09:25:00
